NAMA SALESMAN;USERNAME VIRTUSEE;STORE NAME;REFFERENCE CODE;STORE CODE;SPV GLICO;REGION;DISTRIBUTOR;DEPO
YASIN;probolinggo2;SURYANI;UDN026S00045;S00045;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;A MART;UDN026A00158;A00158;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;ABADI;UDN026A00112;A00112;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;ABADI;UDN026A00072;A00072;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;AGUS;UDN026A00026;A00026;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;AIR MART;UDN026A00110;A00110;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;AL MAIRA;UDN026A00143;A00143;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;ALFANUR;UDN026A00092;A00092;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;AMIN;UDN026A00127;A00127;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;ARIFAH CELL;UDN026A00053;A00053;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;ARTHA DIANA;UDN026A00006;A00006;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;BARMUHAS;UDN026B00061;B00061;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;BAROKAH JAYA/H.AHMAD;UDN026B00068;B00068;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;BASMALAH CONDONG;UDN026B00086;B00086;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;BASMALAH WANGKAL;UDN026B00085;B00085;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;BERKAH;UDN026B00088;B00088;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;BILVANA;UDN026B00127;B00127;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;CANDRA;UDN026C00019;C00019;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;CENDRAWASIH;UDN026C00010;C00010;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;DAMAI;UDN026D00003;D00003;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;DEA;UDN026D00036;D00036;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;DEDIT;UDN026D00020;D00020;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
YASIN;probolinggo2;DEVI;UDN026D00016;D00016;SANNY RATNA SARI;EAST JAVA;PT UNIRAMA DUTA NIAGA;PROBOLINGGO
