NAMA SALESMAN;USERNAME VIRTUSEE;STORE NAME;REFFERENCE CODE;STORE CODE;SPV GLICO;REGION;DISTRIBUTOR;DEPO
RUSDIYANTO;makassar1;AIQA, TK;P-0111AQ009;11AQ009;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;ASKAR, TK;P-0111AS024;11AS024;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;CAHAYA ILAHI, TK;P-0111CH003;11CH003;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;88, TK;P-0111DL006;11DL006;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;FIRDA BELAWA, TK;P-0111FR004;11FR004;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;GOKIS, TK;P-0111GK001;11GK001;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;HIDAYAT, TK;P-0111HD006;11HD006;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;HAJRAH, TK;P-0111HJ007;11HJ007;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;HEMAT, TK;P-0111HM010;11HM010;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;ILHAM, TK;P-0111IL011;11IL011;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;IMAH, TK;P-0111IM007;11IM007;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;INNA, TK;P-0111IN022;11IN022;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;KEANU (AINUN 2). TK;P-0111KN014;11KN014;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;MAHA SURYA, TK;P-0111MH001;11MH001;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;NIKEN, TK;P-0111NK003;11NK003;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;RAHMAT, TOKO;P-0111RH042;11RH042;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
RUSDIYANTO;makassar1;RISMAL, TK;P-0111RS086;11RS086;VACANT MAKASSAR;EAST INDONESIA;PT PRIMA KARSA MITRA NIAGA;MAKASSAR
